Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
397,01-09-2021,The Money Club,Other Specialized Fintech,Noida,SOSV, Venture Catalysts,,Pre-series A,1700000,2016,
398,01-09-2021,Klub,Lending/Credit,Bengaluru,Trifecta Capital,,,Debt Funding,2000000,2019,
399,01-09-2021,ZestMoney,Lending/Credit,Bengaluru,Zip Co,,,Series C,50000000,2015,
400,01-09-2021,HappyCredit,Other Specialized Fintech,Bengaluru,Kunal Shah, Krishna Kumar,,Pre-Seed,600000,2020,
401,01-09-2021,LivQuik Technology,Payments/Wallets,Mumbai,M2P Fintech,,,,4000000,2012,
402,01-09-2021,Easiloan,Lending/Credit,Mumbai,Tomorrow Capital,,,,1000000,2020,
403,01-09-2021,Paytail,Lending/Credit,New Delhi,Cholamandalam,,,Seed,1500000,2020,
404,01-09-2021,4Fin,Lending/Credit,Pune,Curesense Therapeutics,,,Pre-Seed,1100000,2021,
405,01-09-2021,Jar,Investments/Wealth Management,Bengaluru,Tribe Capital, Arkam Ventures, WEH,Pre-series A,4500000,2021,
406,01-09-2021,bitsCrunch,Other Specialized Fintech,Chennai,Covalent, Double Peak, GenBlock Capital,Seed,700000,2020,
407,01-09-2021,Neokred,Financial Infrastructure/BaaS,Bengaluru,Virenxia Group, Rajesh Jain, Nitin Agarwal,Seed,500000,2019,
408,01-09-2021,Leap Finance,Lending/Credit,Bengaluru,Owl Ventures,,,Series C,55000000,2019,
409,01-09-2021,WeRize,Other Specialized Fintech,Bengaluru,3one4 Capital, Kalaari Capital,,Series A,8000000,2019,
411,01-04-2022,Spinny,Other Specialized Fintech,Gurugram,Tiger Global,Blume Ventures,Accel India,Series E,513500000,2015,
413,01-04-2022,BharatPe,Payments/Wallets,New Delhi,Tiger Global,Sequoia India,,Series E,700500000,2018,
414,01-04-2022,Razorpay,Payments/Wallets,Bengaluru,Lightspeed India Partners,Tiger Global,,Series F,741600000,2014,
415,01-04-2022,CoinSwitch Kuber,Other Specialized Fintech,Bengaluru,Tiger Global,Sequoia India,,Series C,300600000,2017,
416,01-04-2022,Zeta,Financial Infrastructure/BaaS,"San Francisco, USA",SoftBank Vision Fund 2,Lightspeed India Partners,,,30000000,2015,
417,01-04-2022,Upstox,Investments/Wealth Management,Mumbai,Tiger Global,GVK Davix Technologies,,undisclosed,29000000,2010,
418,01-04-2022,OkCredit,Business Financial Tools,Faridabad,Google for Startups,Lightspeed India Partners,,undisclosed,84,2017,
419,01-04-2022,MobiKwik,Payments/Wallets,Gurugram,Abu Dhabi Investment Authority,Dosch,,Series G,166,2009,
420,01-04-2022,Digits,Lending/Credit,"San Francisco, USA",Benchmark,GV,,Series C,97500000,2018,
421,01-04-2022,Leaf Round,Investments/Wealth Management,Bengaluru,Super Capital,,,Pre-Seed,300000,2022,
422,01-04-2022,iTribe,Investments/Wealth Management,Bengaluru,Eximius Ventures,PlanBcapital,,undisclosed,1000000,2021,
423,01-04-2022,Stockal,Investments/Wealth Management,"New York, United States",Hashed,A'Z Angels,,Series A,14800000,2016,
424,01-02-2022,Chargebee,Business Financial Tools,Chennai,Tiger Global, Sequoia Capital,,,250000000,2011,
425,01-02-2022,Waterfield Advisors,Investments/Wealth Management,Mumbai,Jungle Ventures, Corel Traders,,Series B,6000000,2011,
426,01-02-2022,Jar,Investments/Wealth Management,Bengaluru,Tiger Global,,,Series A,32000000,2021,
427,01-02-2022,Pillow,Other Specialized Fintech,Bengaluru,Elevation Capital,,,Seed,3000000,2021,
428,01-02-2022,Dvara SmartGold,Other Specialized Fintech,Mumbai,Axilor, Dvara Holdings,,Pre-series A,2000000,2019,
429,01-02-2022,Elever,Lending/Credit,Bengaluru,Massimo Vita, Udaya Kumar,,,750000,2020,
430,01-02-2022,Hero FinCorp,Lending/Credit,New Delhi,Apollo, Hero MotoCorp,,,267000000,1991,
431,01-02-2022,Wealthy.in,Investments/Wealth Management,Bengaluru,Alpha Wave,,,Series A,7500000,2015,
432,01-02-2022,Karbon Card,Lending/Credit,Bengaluru,Olive Tree Capital, Harmony, Avenir Growth Capital,Series A,15000000,2019,
433,01-02-2022,Better Opinions,Other Specialized Fintech,Gurugram,Java Capital, Soma Capital,,Seed,1000000,2021,
434,01-02-2022,RapiPay,Payments/Wallets,New Delhi,Varun Jaipuria,,,,15000000,2021,
435,01-02-2022,Join Ventures,Other Specialized Fintech,Mumbai,DSG Consumer Partners, Rajiv Dadlani Group, 9Unicorns,Series A,1000000,2020,
436,01-02-2022,Propelld,Lending/Credit,Bengaluru,Westbridge Capital,,,Series B,35000000,2017,
437,01-02-2022,Prime Venture Partners,Investments/Wealth Management,Bengaluru,International Finance Corporation,,,,120000000,2011,
438,01-02-2022,Upswing Financial Technologies,Financial Infrastructure/BaaS,Mumbai,Kunal Shah, Rajan Bajaj,,,4000000,2021,
439,01-01-2022,Innoviti Payment Solutions,Payments/Wallets,Bengaluru,Trifecta Capital, Patni Advisors, Bessemer Venture Partners,,10000000,2002,
440,01-01-2022,CASHe,Lending/Credit,Mumbai,TSLC,,,,10000000,2016,
441,01-01-2022,LivFin,Lending/Credit,Gurugram,BlackSoil,,,,2000000,2017,
442,01-01-2022,Rupifi,Payments/Wallets,Bengaluru, Tiger Global,,,Series A,25000000,2020,
443,01-01-2022,DMI Finance,Lending/Credit,New Delhi,Sumitomo Mitsui Trust Bank,,,,47000000,2008,
444,01-01-2022,Rupeek,Lending/Credit,Bengaluru,Lightbox,,,,34000000,2015,
445,01-01-2022,Ippo Pay,Payments/Wallets,Chennai,Coinbase Ventures,,,,2000000,2020,
446,01-01-2022,Refyne,Lending/Credit,Bengaluru,Tiger Global,,,Series B,82000000,2020,
447,01-01-2022,Lendingkart,Lending/Credit,Ahmedabad,BlueOrchard Finance,,,,5900000,2014,
448,01-01-2022,Muvin,Payments/Wallets,Bengaluru,WaterBridge Ventures,,,Pre-series A,3000000,2020,
449,01-01-2022,Kaleidofin,Other Specialized Fintech,Chennai,Michael & Susan Dell Foundation,,,Series B,10000000,2017,
450,01-01-2022,INDmoney,Investments/Wealth Management,Gurugram,Steadview Capital, Tiger Global, Dragoneer Investment Group,Series D,75000000,2019,
451,01-01-2022,Scripbox,Investments/Wealth Management,Bengaluru,Accel India, Transpose Platform, the Sparkle Fund,Series D,21000000,2012,
452,01-01-2022,Threedots,Investments/Wealth Management,Bengaluru,Kalaari Capital,,,Seed,4000000,2021,
453,01-01-2022,Sahicoin,Other Specialized Fintech,Gurugram,Alameda Ventures, Better Capital Ventures,,Seed,1750000,2021,
454,01-01-2022,Finsall,Lending/Credit,Bengaluru,Unicorn India Ventures,,,Pre-series A,1000000,2019,
455,01-01-2022,Pi Ventures,Investments/Wealth Management,Bengaluru,Binny Bansal, Varun Alagh,,,40000000,2016,
456,01-01-2022,StockGro,Investments/Wealth Management,Bengaluru,BITKRAFT Ventures, General Catalyst, Itai Tsiddon,Series A,32000000,2020,
457,01-01-2022,Flint,Other Specialized Fintech,Bengaluru,Sequoia India, GFC,,Seed,5000000,2021,
458,01-01-2022,Raise Financial,Investments/Wealth Management,Mumbai,BEENEXT, Mirae Asset Ventures,,Series A,22000000,2021,
459,01-01-2022,Vyapar,Business Financial Tools,Bengaluru,Westbridge Capital,,,Series B,30000000,2017,
460,01-01-2022,Kissht,Lending/Credit,Mumbai,Trifecta Capital, Northern Arc,,,10000000,2015,
461,01-03-2022,Snapmint,Lending/Credit,Mumbai,Negen Capital, Ramakant Sharma, Usama Fayyad,Series A,9000000,2015,
462,01-03-2022,Kuhoo,Lending/Credit,Mumbai,Westbridge Capital,,,Seed,20000000,2021,
463,01-03-2022,RupeeRedee,Lending/Credit,Gurugram,Digital Finance International,,,Series B,1100000,2018,
464,01-03-2022,Pocketly,Lending/Credit,Bengaluru,Dholakia Ventures,,,Pre-series A,3000000,2019,
465,01-03-2022,Junio,Payments/Wallets,New Delhi,NB Ventures,,,Pre-series A,6000000,2020,
